VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_2	1773039795413	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039795696915200.png
PX4_1	1773039795590	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039795876795200.png
PX4_4	1773039795689	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039795976321300.png
PX4_3	1773039795860	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039796148083000.png
PX4_2	1773039795956	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039796242459000.png
PX4_1	1773039796034	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039796319896100.png
PX4_4	1773039796124	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039796411639200.png
PX4_3	1773039796217	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039796504547900.png
PX4_2	1773039796310	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039796598491300.png
PX4_1	1773039796391	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039796678471100.png
PX4_4	1773039796517	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039796805134300.png
PX4_3	1773039796601	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039796887647200.png
PX4_2	1773039796691	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039796978054400.png
PX4_1	1773039796766	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039797051913200.png
PX4_4	1773039796850	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039797137930200.png
PX4_3	1773039796937	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039797223898100.png
PX4_2	1773039797051	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039797338067800.png
PX4_1	1773039797153	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039797439942000.png
PX4_4	1773039797267	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039797553697200.png
PX4_3	1773039797351	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039797639625800.png
PX4_2	1773039797474	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039797760311200.png
PX4_1	1773039797543	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039797831099000.png
PX4_4	1773039797666	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039797952892700.png
PX4_3	1773039797756	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039798042746100.png
PX4_2	1773039797837	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039798123852900.png
PX4_1	1773039797906	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039798192067400.png
PX4_4	1773039797987	0	0	0.579022	0.707107	0	0	0.707107	img_PX4_4__0_1773039798273336200.png
PX4_3	1773039798071	0	0	0.593009	0.707107	0	0	-0.707107	img_PX4_3__0_1773039798358661400.png
PX4_2	1773039798149	0	0	0.686706	3.57628e-07	0	0	-1	img_PX4_2__0_1773039798437557100.png
PX4_1	1773039798218	0	0	0.666103	1	0	0	0	img_PX4_1__0_1773039798505075700.png
