VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_4	1760613955965	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613956491969800.png
PX4_2	1760613956019	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613956545401900.png
PX4_3	1760613956058	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613956582846700.png
PX4_1	1760613956091	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613956618614200.png
PX4_4	1760613956151	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613956677331400.png
PX4_2	1760613956214	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613956740693900.png
PX4_3	1760613956283	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613956810152800.png
PX4_1	1760613956337	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613956865929500.png
PX4_4	1760613956403	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613956930585500.png
PX4_2	1760613956466	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613956992525800.png
PX4_3	1760613956526	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613957053950300.png
PX4_1	1760613956574	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613957102187300.png
PX4_4	1760613956634	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613957161239500.png
PX4_2	1760613956694	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613957223618100.png
PX4_3	1760613956754	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613957282827800.png
PX4_1	1760613956802	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613957329596900.png
PX4_4	1760613956859	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613957388531700.png
PX4_2	1760613956922	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613957451459100.png
PX4_3	1760613956982	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613957512054000.png
PX4_1	1760613957036	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613957563385300.png
PX4_4	1760613957090	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613957617686800.png
PX4_2	1760613957150	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613957678590000.png
PX4_3	1760613957207	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613957737485000.png
PX4_1	1760613957255	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613957784719900.png
PX4_4	1760613957312	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613957841754000.png
PX4_2	1760613957372	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613957900921500.png
PX4_3	1760613957432	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613957960912800.png
PX4_1	1760613957480	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613958009311800.png
PX4_4	1760613957537	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613958065728600.png
PX4_2	1760613957597	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613958126855600.png
PX4_3	1760613957657	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613958185706500.png
PX4_1	1760613957705	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613958233975400.png
PX4_4	1760613957762	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613958292189300.png
PX4_2	1760613957831	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613958361242600.png
PX4_3	1760613957903	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613958434973700.png
PX4_1	1760613957957	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613958486938700.png
PX4_4	1760613958014	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613958543022100.png
PX4_2	1760613958071	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613958601803500.png
PX4_3	1760613958128	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613958658737600.png
PX4_1	1760613958173	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613958704666500.png
PX4_4	1760613958230	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613958761940300.png
PX4_2	1760613958290	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613958822629000.png
PX4_3	1760613958347	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613958878901900.png
PX4_1	1760613958395	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613958926771800.png
PX4_4	1760613958455	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613958985264900.png
PX4_2	1760613958515	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613959046965000.png
PX4_3	1760613958578	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613959108433800.png
PX4_1	1760613958626	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613959157780400.png
PX4_4	1760613958683	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613959215263800.png
PX4_2	1760613958743	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613959276028200.png
PX4_3	1760613958803	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613959335886400.png
PX4_1	1760613958857	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613959388210600.png
PX4_4	1760613958914	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613959444325700.png
PX4_2	1760613958974	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613959504835300.png
PX4_3	1760613959034	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613959566531100.png
PX4_1	1760613959091	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613959623097700.png
PX4_4	1760613959151	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613959682819300.png
PX4_2	1760613959211	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613959742858600.png
PX4_3	1760613959262	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613959795603100.png
PX4_1	1760613959316	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613959850589300.png
PX4_4	1760613959376	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613959909738500.png
PX4_2	1760613959439	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613959972751400.png
PX4_3	1760613959505	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613960037052700.png
PX4_1	1760613959559	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613960091621000.png
PX4_4	1760613959616	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613960151288100.png
PX4_2	1760613959676	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613960209802100.png
PX4_3	1760613959736	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613960271203900.png
PX4_1	1760613959790	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613960325625800.png
PX4_4	1760613959850	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613960383550400.png
PX4_2	1760613959907	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613960440167400.png
PX4_3	1760613959964	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613960499547600.png
PX4_1	1760613960018	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613960553589200.png
PX4_4	1760613960081	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613960615935200.png
PX4_2	1760613960144	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613960679656900.png
PX4_3	1760613960207	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613960742149000.png
PX4_1	1760613960261	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613960795091800.png
PX4_4	1760613960321	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613960856023200.png
PX4_2	1760613960384	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613960917657800.png
PX4_3	1760613960444	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613960980319200.png
PX4_1	1760613960498	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613961033307700.png
PX4_4	1760613960555	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613961092075100.png
PX4_2	1760613960618	0	0	0.569113	3.57628e-07	0	0	-1	img_PX4_2__0_1760613961151742000.png
PX4_3	1760613960675	0	0	0.569113	0.707107	0	0	-0.707107	img_PX4_3__0_1760613961211002800.png
PX4_1	1760613960723	0	0	0.569113	1	0	0	0	img_PX4_1__0_1760613961259721800.png
PX4_4	1760613960783	0	0	0.569113	0.707107	0	0	0.707107	img_PX4_4__0_1760613961318138300.png
