VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_2	1773041109441	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041110243737700.png
PX4_3	1773041109528	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041110333629000.png
PX4_4	1773041109609	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041110414291600.png
PX4_1	1773041109681	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041110488195900.png
PX4_2	1773041109765	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041110571577100.png
PX4_3	1773041109855	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041110661386200.png
PX4_4	1773041109936	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041110744466400.png
PX4_1	1773041110008	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041110816880300.png
PX4_2	1773041110095	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041110902651000.png
PX4_3	1773041110182	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041110992387600.png
PX4_4	1773041110272	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041111083585800.png
PX4_1	1773041110359	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041111169910400.png
PX4_2	1773041110443	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041111257677400.png
PX4_3	1773041110527	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041111339014400.png
PX4_4	1773041110623	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041111437849000.png
PX4_1	1773041110707	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041111522462700.png
PX4_2	1773041110809	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041111624290300.png
PX4_3	1773041110899	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041111717164500.png
PX4_4	1773041110968	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041111785099200.png
PX4_1	1773041111019	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041111839239100.png
PX4_2	1773041111115	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041111936468600.png
PX4_3	1773041111205	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041112027187000.png
PX4_4	1773041111298	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041112123520700.png
PX4_1	1773041111391	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041112221503900.png
PX4_2	1773041111502	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041112333778400.png
PX4_3	1773041111610	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041112441749500.png
PX4_4	1773041111688	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041112522872100.png
PX4_1	1773041111751	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041112584813300.png
PX4_2	1773041111814	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041112646715600.png
PX4_3	1773041111898	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041112733249500.png
PX4_4	1773041111988	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041112825914300.png
PX4_1	1773041112072	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041112910995900.png
PX4_2	1773041112171	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041113009385800.png
PX4_3	1773041112255	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041113097610000.png
PX4_4	1773041112354	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041113198800500.png
