VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_2	1773041102976	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041103699628400.png
PX4_3	1773041103033	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041103762555700.png
PX4_4	1773041103093	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041103820808800.png
PX4_1	1773041103153	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041103881929600.png
PX4_2	1773041103255	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041103984645300.png
PX4_3	1773041103345	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041104075190400.png
PX4_4	1773041103441	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041104173504300.png
PX4_1	1773041103531	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041104264133100.png
PX4_2	1773041103618	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041104353198900.png
PX4_3	1773041103711	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041104446831600.png
PX4_4	1773041103801	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041104539194100.png
PX4_1	1773041103885	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041104623219500.png
PX4_2	1773041103972	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041104712307100.png
PX4_3	1773041104065	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041104805483700.png
PX4_4	1773041104155	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041104895270200.png
PX4_1	1773041104212	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041104953523400.png
PX4_2	1773041104311	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041105055592000.png
PX4_3	1773041104368	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041105112310400.png
PX4_4	1773041104470	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041105218425900.png
PX4_1	1773041104560	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041105308760600.png
PX4_2	1773041104656	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041105407652300.png
PX4_3	1773041104743	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041105492525000.png
PX4_4	1773041104827	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041105576195700.png
PX4_1	1773041104896	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041105649606000.png
PX4_2	1773041104983	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041105735112400.png
PX4_3	1773041105067	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041105819941000.png
PX4_4	1773041105148	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041105901619300.png
PX4_1	1773041105220	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041105976126600.png
PX4_2	1773041105313	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041106067352000.png
PX4_3	1773041105397	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041106154969500.png
PX4_4	1773041105481	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041106242021100.png
PX4_1	1773041105556	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041106317786500.png
PX4_2	1773041105640	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041106399435200.png
PX4_3	1773041105730	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041106492335900.png
PX4_4	1773041105814	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041106575628900.png
PX4_1	1773041105883	0	0	0.573961	1	0	0	0	img_PX4_1__0_1773041106647770000.png
